YEAR;MO;DY;T2M_MAX;T2M_MIN;PRECTOTCORR;PS
1983;1;1;14.24;0.69;0.0;100.87
1983;1;2;13.11;-1.12;0.0;101.0
1983;1;3;13.94;0.01;0.0;101.14
1983;1;4;16.24;0.91;0.0;101.23
1983;1;5;17.07;3.06;0.0;101.09
1983;1;6;14.54;5.02;0.0;101.05
1983;1;7;17.94;4.99;0.0;101.19
1983;1;8;16.29;6.13;0.0;101.23
1983;1;9;15.74;2.74;0.0;101.18
1983;1;10;15.86;2.68;0.0;101.07
1983;1;11;13.85;3.68;0.0;100.99
1983;1;12;15.33;4.18;0.0;101.0
1983;1;13;15.3;3.49;0.01;100.94
1983;1;14;15.94;4.81;0.06;100.64
1983;1;15;18.48;3.26;0.0;100.59
1983;1;16;15.71;3.08;0.0;100.48
1983;1;17;17.1;3.07;0.0;100.39
1983;1;18;17.15;5.36;0.0;100.4
1983;1;19;17.73;3.98;0.0;100.25
1983;1;20;14.83;4.39;0.0;100.53
1983;1;21;14.72;2.69;0.0;100.92
1983;1;22;14.34;5.08;0.05;100.77
1983;1;23;17.15;3.32;0.0;100.93
1983;1;24;17.23;4.14;0.0;101.0
1983;1;25;18.13;5.78;0.0;101.12
1983;1;26;18.84;4.48;0.0;101.43
1983;1;27;18.51;3.07;0.0;101.43
1983;1;28;20.73;3.03;0.0;101.05
1983;1;29;21.94;5.48;0.0;100.79
1983;1;30;24.15;6.4;0.0;100.65
1983;1;31;23.73;6.63;0.0;100.54
1983;2;1;21.6;6.16;0.0;100.35
1983;2;2;19.48;6.0;0.0;100.41
1983;2;3;18.23;4.12;0.0;100.7
1983;2;4;18.01;3.8;0.0;100.66
1983;2;5;18.98;4.73;0.0;100.27
1983;2;6;14.64;4.9;0.0;99.45
1983;2;7;13.34;1.29;0.0;98.92
1983;2;8;10.94;0.55;0.0;98.46
1983;2;9;11.6;-1.48;0.01;98.57
1983;2;10;9.74;-3.13;0.0;98.8
1983;2;11;10.56;-3.27;7.38;98.2
1983;2;12;8.85;-1.92;0.1;98.14
1983;2;13;9.37;-1.9;0.23;98.5
1983;2;14;9.29;0.87;1.27;98.56
1983;2;15;9.67;-2.37;0.8;99.13
1983;2;16;14.12;-0.12;0.02;99.7
1983;2;17;9.14;2.62;5.63;99.35
1983;2;18;15.45;6.36;1.1;99.84
1983;2;19;17.62;5.25;0.04;100.16
1983;2;20;15.46;5.48;0.67;99.82
1983;2;21;18.12;7.71;0.91;99.71
1983;2;22;16.0;7.96;0.08;99.8
1983;2;23;16.8;7.05;0.03;100.12
1983;2;24;20.7;7.81;0.0;100.47
1983;2;25;21.69;8.9;2.25;100.67
1983;2;26;20.41;8.37;0.41;100.78
1983;2;27;20.19;4.67;0.0;100.71
1983;2;28;21.8;5.06;0.0;100.42
1983;3;1;24.04;6.1;0.0;100.01
1983;3;2;25.01;7.69;0.0;99.87
1983;3;3;23.37;6.65;0.0;99.93
1983;3;4;21.89;9.33;0.0;100.36
1983;3;5;24.43;6.93;0.0;100.42
1983;3;6;21.43;6.48;0.0;100.19
1983;3;7;16.89;6.64;0.0;100.04
1983;3;8;20.3;7.73;0.0;100.07
1983;3;9;23.41;5.49;0.0;100.19
1983;3;10;22.97;8.37;0.0;100.04
1983;3;11;23.55;9.43;0.0;99.97
1983;3;12;22.51;8.23;0.0;99.96
1983;3;13;24.18;8.97;0.0;100.0
1983;3;14;24.01;9.94;0.0;99.93
1983;3;15;19.55;7.25;0.0;100.02
1983;3;16;21.1;5.58;0.0;100.2
1983;3;17;23.7;8.05;0.0;100.21
1983;3;18;25.26;8.83;0.0;100.23
1983;3;19;25.77;7.16;0.57;100.03
1983;3;20;23.98;11.04;1.39;99.72
1983;3;21;24.07;11.62;5.16;99.72
1983;3;22;21.75;12.6;0.26;99.66
1983;3;23;18.12;10.58;4.33;99.03
1983;3;24;20.4;8.65;0.4;98.79
1983;3;25;18.84;5.26;0.0;99.83
1983;3;26;23.49;4.86;0.0;99.87
1983;3;27;22.78;5.76;0.02;99.12
1983;3;28;18.67;5.83;0.01;98.69
1983;3;29;19.83;6.44;0.0;98.96
1983;3;30;21.73;4.46;0.0;99.43
1983;3;31;22.61;7.14;0.0;99.25
1983;4;1;19.75;7.71;0.0;98.95
1983;4;2;18.92;4.69;0.0;98.92
1983;4;3;19.76;5.55;0.0;99.17
1983;4;4;22.05;4.57;0.0;99.49
1983;4;5;22.82;6.57;0.0;99.77
